,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,hami,44,CN,1547167823,68,42.84,93.51,-12.99,2.06
292,siniscola,0,IT,1547166000,75,40.57,9.69,5.0,2.1
293,lewistown,1,US,1547166900,66,40.39,-90.15,-3.9,1.31
294,klaksvik,64,FO,1547166000,100,62.23,-6.59,6.0,3.1
295,kokopo,20,PG,1547167824,98,-4.34,152.27,28.81,1.11
296,sawakin,56,SD,1547167825,98,19.1,37.33,20.56,4.36
297,noumea,75,NC,1547166600,78,-22.28,166.46,27.0,3.1
298,port+hedland,0,AU,1547166600,74,-20.31,118.58,31.0,4.1
299,chernigovka,0,RU,1547167827,81,44.34,132.57,-18.64,1.01
300,antalaha,88,MG,1547167707,94,-14.9,50.28,25.36,0.41
301,katsuura,75,JP,1547164800,53,33.93,134.5,10.0,3.6
302,tallahassee,90,US,1547165700,65,30.44,-84.28,9.0,2.1
303,rensvik,92,NO,1547166000,100,63.1,7.82,5.0,21.6
304,oktyabrskoye,40,RU,1547166600,83,56.73,85.44,-26.0,3.0
305,khatanga,0,RU,1547167719,0,71.98,102.47,-41.14,2.16
306,leningradskiy,68,RU,1547167829,97,69.38,178.42,-16.24,10.26
307,oussouye,0,SN,1547164800,82,12.49,-16.54,20.0,2.1
308,ayni,80,TJ,1547167830,83,39.39,68.54,-4.84,0.91
309,sokoto,0,NG,1547167830,44,13.06,5.24,18.86,2.46
310,nenjiang,12,CN,1547167831,71,49.17,125.23,-19.19,4.31
311,calama,40,CL,1547164800,54,-22.46,-68.93,15.0,11.8
312,inhambane,12,MZ,1547167832,95,-23.87,35.38,26.71,5.16
313,am+timan,0,TD,1547167833,41,11.04,20.28,18.06,2.36
314,bandarbeyla,100,SO,1547167833,100,9.49,50.81,24.49,9.21
315,xixiang,40,CN,1547166600,88,22.58,113.87,19.0,3.6
316,saquarema,0,BR,1547164800,83,-22.93,-42.51,27.0,8.2
317,tasiilaq,88,GL,1547164200,73,65.61,-37.64,-6.0,8.7
318,paraiso,20,MX,1547165820,24,24.01,-104.61,19.0,6.2
319,ojinaga,1,US,1547166900,49,29.56,-104.41,17.6,2.1
320,hun,92,BE,1547166120,96,50.34,4.87,2.0,3.1
321,prince+rupert,90,CA,1547164800,93,54.32,-130.32,6.0,4.1
322,ozinki,48,RU,1547167836,85,51.2,49.73,-16.04,2.66
323,bandar-e+lengeh,32,IR,1547164800,42,26.56,54.88,19.0,3.1
324,cassilandia,12,BR,1547167837,40,-19.11,-51.73,27.11,3.66
325,mocuba,44,MZ,1547167837,88,-16.84,36.99,24.51,1.81
326,beringovskiy,80,RU,1547167838,93,63.05,179.32,-7.27,11.16
327,rawson,0,AR,1547167838,25,-43.3,-65.11,19.21,2.86
328,conde,76,BR,1547167838,90,-11.81,-37.61,25.56,3.21
329,shitkino,44,RU,1547167839,64,56.37,98.35,-11.74,2.76
330,dudinka,48,RU,1547167839,49,69.41,86.18,-34.42,2.21
331,nazarovo,64,RU,1547167840,72,56.01,90.42,-17.52,3.16
332,grand+gaube,40,MU,1547164800,88,-20.01,57.66,25.0,2.6
333,dingle,36,PH,1547167840,74,11.0,122.67,25.84,7.46
334,zaria,0,NG,1547167841,54,11.11,7.72,15.49,1.66
335,muravlenko,32,RU,1547167841,69,63.79,74.5,-26.39,3.66
336,opuwo,0,NA,1547167842,47,-18.06,13.84,15.49,1.86
337,vestmannaeyjar,92,IS,1547167676,98,63.44,-20.27,4.61,5.11
338,sao+filipe,32,CV,1547167733,95,14.9,-24.5,22.74,6.96
339,severo-kurilsk,0,RU,1547167842,100,50.68,156.12,-10.27,0.96
340,kijang,0,KR,1547164800,64,35.24,129.21,1.0,3.1
341,maldonado,75,UY,1547164800,77,-34.91,-54.96,19.0,7.7
342,brae,20,GB,1547166000,93,60.4,-1.35,9.0,6.7
343,ous,36,RU,1547167845,76,60.91,61.52,-27.52,1.16
344,emerald,75,AU,1547164800,58,-23.53,148.16,29.0,6.2
345,neuquen,0,AR,1547164800,40,-38.95,-68.06,20.0,2.61
346,bagdarin,0,RU,1547167846,45,54.44,113.59,-27.79,1.06
347,flinders,90,AU,1547166600,78,-34.58,150.85,24.0,0.5
348,urla,75,TR,1547166000,93,38.32,26.77,12.0,5.1
349,ponta+delgada,75,PT,1547164800,87,37.73,-25.67,14.0,8.2
350,benguela,20,AO,1547167848,100,-12.58,13.4,23.76,1.66
351,rengo,0,CL,1547164800,34,-34.41,-70.86,26.0,3.6
352,manyana,90,AU,1547166600,78,-35.26,150.51,24.0,0.5
353,paamiut,0,GL,1547167849,100,61.99,-49.67,-2.24,1.26
354,williston,1,US,1547166900,86,48.15,-103.62,-1.0,2.6
355,athabasca,44,CA,1547167850,80,54.72,-113.29,-13.89,2.26
356,nkhotakota,36,MW,1547167851,99,-12.93,34.3,22.36,1.41
357,launceston,0,AU,1547166600,43,-41.43,147.14,21.0,7.7
358,carballo,0,ES,1547164800,56,43.21,-8.69,7.0,4.1
359,belaya+gora,56,RU,1547167852,60,68.54,146.19,-36.34,1.41
360,verkhoyansk,44,RU,1547167852,78,67.55,133.39,-39.39,1.06
361,katherine,40,AU,1547166600,66,-14.47,132.26,31.0,4.1
362,polonnaruwa,100,LK,1547167853,97,7.94,81.0,22.39,0.16
363,bongandanga,36,CD,1547167853,87,1.51,21.07,23.24,1.41
364,namibe,0,AO,1547167818,100,-15.19,12.15,23.11,1.51
365,firminopolis,36,BR,1547167854,78,-16.58,-50.3,23.49,1.46
366,viedma,0,AR,1547167814,61,-40.81,-62.99,14.11,2.21
367,beira,0,ES,1547164800,56,43.2,-8.36,7.0,4.1
368,salalah,0,OM,1547164200,60,17.01,54.1,21.0,1.0
369,helmbrechts,90,DE,1547164560,88,50.23,11.72,-3.6,3.1
370,luderitz,0,NA,1547167784,89,-26.65,15.16,14.74,4.26
371,victoria+point,20,AU,1547166600,51,-27.58,153.3,30.0,5.7
372,mayo,90,CA,1547164800,67,63.59,-135.9,-31.0,0.76
373,isangel,32,VU,1547167860,100,-19.55,169.27,26.01,2.71
374,xinzhou,0,CN,1547167861,75,38.41,112.73,-13.59,1.16
375,manaure,20,CO,1547164800,83,11.78,-72.45,25.0,7.91
376,puerto+rico,48,PY,1547167862,93,-26.82,-55.03,25.34,1.11
377,mezen,92,RU,1547167790,80,65.85,44.24,-10.14,5.31
378,laguna,90,MX,1547164080,56,27.52,-110.01,22.0,3.6
379,ibiruba,44,BR,1547167863,90,-28.63,-53.09,22.39,1.96
380,hambantota,40,LK,1547165400,100,6.12,81.12,24.0,1.5
381,zhanaozen,44,KZ,1547167760,94,43.35,52.85,-3.12,1.71
382,meadow+lake,90,CA,1547164800,78,54.13,-108.44,-13.0,2.6
383,tiznit,0,MA,1547167831,96,29.7,-9.73,8.21,1.61
384,sangar,36,RU,1547167864,57,63.92,127.47,-36.04,3.56
385,nome,1,US,1547166900,52,30.04,-94.42,12.7,1.5
386,ostrovnoy,92,RU,1547167868,87,68.05,39.51,-6.54,14.36
387,cam+ranh,75,VN,1547166600,88,11.92,109.15,26.0,4.6
388,morgan+hill,1,US,1547166000,77,37.13,-121.65,16.0,2.1
389,balkanabat,24,TM,1547167869,95,39.51,54.36,-2.59,1.31
390,parkhill,0,GB,1547166000,86,54.73,-1.52,7.0,2.6
391,geraldton,75,CA,1547164800,64,49.72,-86.95,-20.0,1.5
392,udachnyy,56,RU,1547167871,43,66.42,112.4,-33.67,1.31
393,rocha,92,UY,1547167871,84,-34.48,-54.34,18.76,5.26
394,superior,1,US,1547166660,39,39.95,-105.17,10.0,1.71
395,quang+ngai,92,VN,1547167872,99,15.12,108.8,19.84,1.36
396,keningau,75,MY,1547166600,70,5.33,116.16,29.0,2.6
397,aguimes,40,ES,1547166600,63,27.91,-15.45,16.0,2.6
398,dukat,80,RS,1547167873,92,42.44,22.31,-5.44,1.06
399,port+augusta,0,AU,1547164800,48,-32.49,137.76,29.0,2.6
400,linhares,0,BR,1547167874,74,-19.38,-40.06,25.34,3.16
401,linxia,0,CN,1547167874,56,35.6,103.21,-19.64,1.56
402,sveti+nikole,90,MK,1547166600,92,41.86,21.94,-2.0,1.06
403,moree,0,AU,1547164800,40,-29.46,149.84,30.0,6.2
404,kurumkan,68,RU,1547167876,77,54.33,110.32,-21.62,0.46
405,zemio,0,CF,1547167876,80,5.02,25.13,17.59,1.31
406,somerset+east,44,ZA,1547167877,74,-32.72,25.59,16.06,1.41
407,colesberg,0,ZA,1547167877,20,-30.72,25.1,14.56,3.11
408,sokode,0,TG,1547167878,63,8.98,1.13,20.86,1.21
409,channel-port+aux+basques,80,CA,1547167878,96,47.57,-59.14,2.31,8.06
410,nyurba,64,RU,1547167879,64,63.29,118.35,-22.67,1.31
411,verkhnevilyuysk,56,RU,1547167879,69,63.45,120.31,-26.49,2.26
412,payson,90,US,1547166900,74,40.04,-111.73,2.2,4.6
413,portland,75,US,1547164560,71,45.52,-122.67,13.9,3.1
414,la+asuncion,92,EC,1547167880,99,-1.64,-78.74,8.74,0.26
415,mount+gambier,0,AU,1547164800,26,-37.83,140.78,27.0,5.1
416,bandar-e+anzali,8,IR,1547164800,100,37.47,49.46,2.0,1.41
417,itoman,75,JP,1547166600,88,26.12,127.67,20.0,4.6
418,isla+vista,1,US,1547165700,59,34.41,-119.86,16.0,2.6
419,sur,32,OM,1547167882,100,22.57,59.53,21.96,1.31
420,coquimbo,40,CL,1547164800,87,-29.95,-71.34,15.0,3.1
421,tura,0,IN,1547167883,85,25.52,90.21,9.89,2.41
422,wuwei,0,CN,1547167883,48,37.93,102.64,-21.89,2.66
423,almeria,32,ES,1547164800,65,36.84,-2.46,8.0,4.6
424,wageningen,90,NL,1547166300,93,51.98,5.66,3.0,4.1
425,souillac,0,FR,1547164800,73,45.6,-0.6,0.0,1.5
426,wasilla,1,US,1547164560,86,61.58,-149.44,-11.1,1.5
427,san+patricio,76,PY,1547167721,91,-26.98,-56.83,26.06,1.56
428,tazovskiy,32,RU,1547167886,44,67.47,78.7,-33.29,1.36
429,muyezerskiy,92,RU,1547167886,75,63.93,31.65,-7.19,7.36
430,fasa,0,IR,1547164800,75,28.94,53.65,5.0,2.1
431,vanderhoof,92,CA,1547167887,85,54.02,-124.02,-8.24,0.86
432,hauterive,90,FR,1547164800,94,46.09,3.45,0.0,2.6
433,suhut,0,TR,1547167888,88,38.53,30.55,1.61,6.31
434,port+hueneme,40,US,1547164620,77,34.15,-119.2,15.0,3.1
435,kaeo,44,NZ,1547167833,68,-35.1,173.78,25.46,2.06
436,champasak,40,LA,1547164800,83,14.89,105.88,22.0,1.0
437,bejar,92,AL,1547167889,100,40.49,19.83,3.14,0.46
438,seddon,0,NZ,1547167889,59,-41.67,174.07,22.99,1.61
439,qujing,0,CN,1547167890,90,25.49,103.8,6.61,2.96
440,yar-sale,8,RU,1547167801,100,66.83,70.83,-32.02,1.86
441,isla+mujeres,20,MX,1547164080,72,21.23,-86.73,20.0,1.0
442,vuktyl,20,RU,1547167891,55,63.86,57.31,-28.59,2.66
443,myatlevo,68,RU,1547164800,85,54.9,35.68,-11.0,1.0
444,zhangye,0,CN,1547167892,66,38.94,100.46,-18.69,1.61
445,lompoc,1,US,1547165700,80,34.64,-120.46,16.0,4.6
446,angoche,68,MZ,1547167893,100,-16.23,39.91,28.01,8.01
447,ilulissat,0,GL,1547164200,53,69.22,-51.1,-21.0,3.6
448,griffith,0,AU,1547164800,43,-34.29,146.06,32.0,4.1
449,pundaguitan,100,PH,1547167894,100,6.37,126.17,24.71,3.46
450,nabire,0,ID,1547167895,78,-3.36,135.5,25.46,0.26
451,huilong,92,CN,1547167895,99,28.89,110.18,0.06,0.56
452,yulara,0,AU,1547164800,12,-25.24,130.99,36.0,9.8
453,okhotsk,0,RU,1547167810,100,59.36,143.24,-24.34,4.56
454,nuuk,0,GL,1547164200,78,64.17,-51.74,-9.0,4.6
455,hualmay,48,PE,1547167896,93,-11.1,-77.61,20.49,1.71
456,liku,20,ID,1547167896,92,-0.73,119.89,26.71,0.96
457,alice+springs,0,AU,1547166600,22,-23.7,133.88,37.0,8.2
458,trairi,48,BR,1547167897,100,-3.28,-39.27,27.11,4.66
459,nhulunbuy,0,AU,1547166600,59,-12.18,136.78,33.0,3.6
460,fergus+falls,1,US,1547166960,72,46.28,-96.08,-8.0,5.7
461,talnakh,44,RU,1547167898,47,69.49,88.39,-34.19,1.66
462,mosetse,8,BW,1547167898,95,-20.64,26.64,22.01,2.66
463,mount+isa,8,AU,1547166600,36,-20.73,139.49,35.0,5.7
464,berlevag,36,NO,1547167899,100,70.86,29.09,-0.17,5.41
465,sunrise+manor,1,US,1547165700,39,36.21,-115.07,16.7,1.5
466,ossora,56,RU,1547167900,89,59.24,163.07,-3.54,4.46
467,malinovoye+ozero,64,RU,1547167900,77,51.68,79.77,-16.39,1.36
468,bakel,48,SN,1547167814,52,14.9,-12.46,19.01,1.51
469,roma,0,IT,1547166000,74,41.89,12.48,3.0,4.1
470,baruun-urt,0,MN,1547167901,70,46.68,113.28,-20.02,5.16
471,lagoa,0,PT,1547164800,62,37.14,-8.45,11.0,3.6
472,cartagena,0,ES,1547164800,64,37.63,-1.0,4.0,3.1
473,lopatino,88,RU,1547167902,90,53.85,39.47,-9.17,2.81
474,altamira,92,BR,1547167902,100,-3.2,-52.21,22.06,1.11
475,alexandria,1,US,1547165700,40,31.31,-92.44,10.0,1.5
476,koslan,80,RU,1547167903,80,63.46,48.9,-14.39,2.21
477,naples,1,US,1547165700,53,26.14,-81.79,15.0,1.5
478,port+jervis,40,US,1547167500,68,41.38,-74.69,-1.0,5.1
479,broome,76,GB,1547166060,93,52.47,1.45,8.0,3.1
480,bara,0,NG,1547167905,36,10.41,10.6,19.16,4.56
481,collie,0,AU,1547167905,62,-33.36,116.15,17.36,2.06
482,takoradi,8,GH,1547167740,100,4.89,-1.75,27.01,2.86
483,bilibino,12,RU,1547167726,49,68.06,166.44,-23.02,1.51
484,westport,0,IE,1547167907,100,53.8,-9.52,2.84,1.41
485,tingo+maria,92,PE,1547167907,100,-9.29,-76.01,17.09,0.26
486,vila+velha,40,BR,1547164800,83,-3.71,-38.6,27.0,2.6
487,ixtapa,75,MX,1547163900,78,20.71,-105.21,27.0,3.6
488,barsovo,40,RU,1547166600,67,61.17,73.17,-31.0,3.0
489,casma,36,PE,1547167909,98,-9.47,-78.3,23.41,3.36
490,pano+aqil,12,PK,1547164740,81,27.86,69.11,11.0,2.1
491,katangli,80,RU,1547167909,99,51.71,143.23,-13.59,9.26
492,zatoka,75,PL,1547166600,85,50.04,20.52,-6.0,2.6
493,seoul,1,KR,1547166600,79,37.57,126.98,1.0,1.0
494,lovozero,80,RU,1547167911,81,68.01,35.02,-8.62,6.61
495,canchungo,0,GW,1547164800,46,12.07,-16.03,23.0,1.5
496,jalingo,0,NG,1547167911,36,10.3,10.93,19.16,4.56
497,north+bend,90,US,1547164560,83,43.41,-124.22,12.8,2.1
498,santa+rosalia,40,IT,1547166000,61,38.07,13.27,9.0,1.5
499,moussoro,0,TD,1547167913,38,13.64,16.49,15.36,2.16
500,havre-saint-pierre,75,CA,1547167200,86,50.23,-63.6,-2.0,7.2
501,krasnokholm,64,RU,1547167913,78,51.6,54.16,-18.12,1.36
502,gondar,0,PT,1547164800,70,41.82,-8.78,9.0,2.6
503,los+llanos+de+aridane,36,ES,1547166600,59,28.66,-17.92,16.0,4.1
504,scottsbluff,1,US,1547164380,44,41.87,-103.67,6.7,5.1
505,kaputa,32,ZM,1547167915,99,-8.47,29.66,16.96,0.96
506,touros,40,BR,1547164800,83,-5.2,-35.46,26.0,2.6
507,kargopol,68,RU,1547167916,87,61.51,38.95,-8.14,5.21
508,urdoma,76,RU,1547167916,84,61.74,48.55,-8.37,3.01
509,syracuse,90,US,1547166600,84,43.05,-76.15,-5.0,8.2
510,pokhara,0,NP,1547167917,71,28.21,83.99,-0.29,0.86
511,klyuchi,36,RU,1547167917,75,52.25,79.17,-21.62,1.16
512,ewa+beach,75,US,1547166420,69,21.32,-158.01,26.7,2.6
513,sept-iles,90,CA,1547164800,85,50.2,-66.38,-6.0,6.7
514,thinadhoo,68,MV,1547167918,100,0.53,72.93,25.96,2.31
515,liverpool,76,GB,1547166000,87,53.41,-2.98,7.0,3.6
516,pampas,88,PE,1547167919,100,-12.4,-74.87,5.36,0.81
517,katsina,0,NG,1547167919,65,12.99,7.6,14.76,1.41
518,longyearbyen,90,NO,1547164200,72,78.22,15.63,-8.0,14.4
519,magadan,32,RU,1547167831,100,59.56,150.8,-17.02,4.71
520,flin+flon,90,CA,1547164800,77,54.77,-101.88,-16.0,2.6
521,ulaanbaatar,8,MN,1547166600,68,47.92,106.92,-27.0,1.0
522,monrovia,40,LR,1547166600,94,6.33,-10.8,25.0,2.56
523,rio+gallegos,40,AR,1547164800,42,-51.62,-69.22,18.0,5.7
524,kaiyuan,0,CN,1547167922,55,42.54,124.04,-15.87,1.26
525,kulhudhuffushi,0,MV,1547167922,100,6.62,73.07,27.26,2.41
526,prince+george,40,CA,1547165940,95,53.92,-122.75,0.0,2.6
527,abalak,0,NE,1547167923,37,15.46,6.28,14.46,3.41
528,nemuro,75,JP,1547164800,85,43.32,145.57,-7.0,4.1
529,inirida,36,CO,1547167923,85,3.87,-67.92,24.99,1.16
530,vao,36,EE,1547167749,91,59.1,26.19,-7.09,5.51
531,khani,0,GE,1547166600,45,41.96,42.96,6.0,7.2
532,okahandja,0,NA,1547164800,33,-21.98,16.91,15.0,2.6
533,great+falls,90,US,1547164680,49,47.5,-111.29,7.9,7.2
534,amta,0,IN,1547166600,93,22.58,88.01,11.0,2.1
535,lata,88,IN,1547167926,81,30.78,78.62,0.21,0.76
536,flagstaff,40,US,1547166900,53,35.2,-111.65,11.0,0.96
537,dustlik,88,UZ,1547167926,89,40.53,68.03,4.56,4.91
538,conakry,0,GN,1547167927,100,9.52,-13.7,27.14,4.26
539,nsanje,68,MZ,1547167927,93,-16.92,35.26,24.09,1.41
540,buchanan,40,LR,1547166600,94,5.88,-10.05,25.0,3.41
541,port-cartier,90,CA,1547164800,85,50.03,-66.88,-6.0,6.7
542,dali,0,CN,1547167928,100,25.6,100.24,-1.67,1.01
543,maragogi,88,BR,1547167773,94,-9.01,-35.22,24.81,2.66
544,bonthe,12,SL,1547167929,82,7.53,-12.5,26.39,2.16
545,ratnagiri,0,IN,1547167929,100,16.98,73.3,23.84,2.51
546,mamakan,44,RU,1547167929,73,57.82,114.02,-11.99,1.31
547,coronado,40,PA,1547164800,78,8.53,-79.9,25.0,4.1
548,cayenne,0,GF,1547166600,78,4.94,-52.33,26.0,2.6
549,warrington,68,GB,1547166000,87,53.39,-2.59,7.0,3.6
550,uyovu,48,TZ,1547167931,92,-3.28,31.53,18.46,1.31
551,khandbari,24,NP,1547167932,51,27.38,87.21,-8.29,0.71
552,pochutla,40,MX,1547163900,74,15.74,-96.47,28.0,4.16
553,kondinskoye,68,RU,1547167932,64,59.65,67.41,-22.19,1.51
554,rio+grande,92,BR,1547167933,98,-32.03,-52.1,21.49,3.46
555,requena,0,ES,1547164800,51,39.49,-1.1,3.0,2.6
556,askim,56,NO,1547166000,65,59.58,11.17,7.0,4.6
557,chicama,75,PE,1547164800,83,-7.84,-79.15,24.0,3.6
558,campo+verde,75,PE,1547164800,94,-8.47,-74.81,25.0,1.0
559,osypenko,90,UA,1547166600,96,48.04,34.39,0.0,2.0
560,encantado,48,BR,1547167935,86,-29.24,-51.88,23.11,1.06
561,kununurra,0,AU,1547166600,63,-15.77,128.74,33.0,2.1
562,fare,92,PF,1547167936,100,-16.7,-151.02,25.31,6.16
563,goderich,76,CA,1547167794,83,43.74,-81.71,-4.87,7.71
564,pitiquito,80,MX,1547167936,46,30.68,-112.05,19.11,2.01
565,roald,92,NO,1547166000,97,62.58,6.12,6.0,8.7
566,palmer,0,AU,1547166600,26,-34.85,139.16,28.0,3.1
567,mitsamiouli,44,KM,1547167938,99,-11.38,43.28,27.91,4.16
568,quzhou,100,CN,1547167938,100,28.97,118.86,6.16,1.51
569,yatou,20,CM,1547167938,97,3.63,9.81,28.21,5.96
570,francisco+beltrao,56,BR,1547167939,89,-26.08,-53.05,24.64,1.56
571,umea,75,SE,1547166000,69,63.83,20.26,4.0,7.2
572,murwara,0,IN,1547167939,81,23.85,80.4,5.51,1.26
573,luorong,92,CN,1547167940,100,24.41,109.6,7.16,1.66
574,nadezhda,92,UA,1547167941,100,46.23,29.65,0.74,4.46
575,korem,0,ET,1547167941,80,12.51,39.52,1.86,0.51
576,silvan,0,TR,1547166000,100,38.14,41.01,-2.0,0.5
577,haines+junction,8,CA,1547167942,65,60.75,-137.51,-38.62,0.96
578,mao,40,DO,1547164800,83,19.55,-71.08,25.0,2.1
579,simbahan,0,PH,1547167942,98,6.3,120.58,28.34,3.41
580,padang,20,ID,1547166600,94,-0.92,100.36,26.0,1.0
581,skoczow,75,PL,1547166600,79,49.8,18.79,-3.0,0.5
582,tsiroanomandidy,88,MG,1547167943,99,-18.77,46.05,18.14,1.31
